,real,forecast56,forecast84,forecast1092,forecast1456,forecast_averaged
2019-11-30 18:00:00,53.1,57.75811104452963,56.853055061657464,58.13407104488881,59.4979673737594,58.06080113120883
2019-11-30 19:00:00,50.01,51.64164155401248,53.1565462748261,55.63661518342693,55.65350359915314,54.022076652854665
2019-11-30 20:00:00,47.35,49.04654114107544,47.372554967406636,52.084923570199145,51.823582169053104,50.081900461933586
2019-11-30 21:00:00,42.42,44.543735302490894,41.47291997409079,46.81835900074947,46.68931939262001,44.88108341748779
2019-11-30 22:00:00,41.94,40.99571087931001,39.85041053112842,46.264123984967874,46.1733370969266,43.32089562308323
2019-11-30 23:00:00,40.13,36.78046883905149,36.9576564142545,43.228536426387244,42.80746666766699,39.94353208684006
2019-12-01 00:00:00,38.55,36.85510227045304,37.05996161261605,39.12752857917307,38.21421021735375,37.81420066989897
2019-12-01 01:00:00,37.07,33.98130486635357,34.9613238166028,37.762809253218826,36.417875506139175,35.780828360578596
2019-12-01 02:00:00,36.26,35.360203280092456,35.845966673901756,38.29282854968257,36.28853358908235,36.446883023189784
2019-12-01 03:00:00,35.93,34.259919113039274,35.329130430967396,35.371862386641304,34.28466172577022,34.81139341410454
2019-12-01 04:00:00,35.86,32.271881518928765,33.645019964015674,33.7357545871989,33.04957420182184,33.17555756799129
2019-12-01 05:00:00,35.92,30.916751806460727,31.86700528714961,33.473093061279236,31.47472308035467,31.93289330881106
2019-12-01 06:00:00,36.13,33.43584968867157,32.68956642168837,36.08076546909535,30.359213581331744,33.14134879019676
2019-12-01 07:00:00,37.04,36.045744050595886,35.299112892194245,35.58470189971161,33.50555856061289,35.108779350778654
2019-12-01 08:00:00,38.74,38.39749013249629,38.30463804642129,38.52779631526958,36.920598016031946,38.037630627554776
2019-12-01 09:00:00,42.12,41.76616915089439,41.96068320799108,42.84803243818275,39.48459635673419,41.5148702884506
2019-12-01 10:00:00,44.77,42.251827648415976,43.212007883563025,45.5366683451354,41.27248803645123,43.068247978391405
2019-12-01 11:00:00,48.0,43.96461741816289,45.23862312406525,46.023187427305565,44.764279210935925,44.997676795117414
2019-12-01 12:00:00,48.15,44.44679402828458,46.29689199096586,46.399598536832535,43.87907574325716,45.25559007483504
2019-12-01 13:00:00,45.76,43.54255408658875,44.50375261726496,42.52182931975489,41.32603896370451,42.97354374682828
2019-12-01 14:00:00,44.7,42.035715362479245,43.573149827342654,41.4139480937171,40.43850894736364,41.865330557725656
2019-12-01 15:00:00,44.98,43.944155551035784,44.03608311818589,42.00024171206914,40.070778839761545,42.51281480526309
2019-12-01 16:00:00,47.79,47.20868114298586,48.448467809391616,45.86493165702029,43.442603434576206,46.24117101099349
2019-12-01 17:00:00,50.45,52.47661880307633,52.37934735268834,53.70970669311588,50.962682309466594,52.38208878958679
2019-12-01 18:00:00,52.4,49.22347151901797,49.66495968641882,54.03303011116812,51.61602487154076,51.134371547036416
2019-12-01 19:00:00,50.64,46.77829605962626,47.17435915397313,52.542657651282326,51.14886939734619,49.411045565556975
2019-12-01 20:00:00,46.84,44.393737085809015,43.50949863580379,50.769887645363646,49.09729322277091,46.94260414743684
2019-12-01 21:00:00,42.92,41.99968843365795,40.25111422639817,45.195185177181074,45.03781948450875,43.12095183043649
2019-12-01 22:00:00,39.9,40.2300632349282,38.80032428453085,44.78026127998907,44.80127455253725,42.152980837996346
2019-12-01 23:00:00,37.83,35.39660974504184,36.0967695875279,37.738873732023464,37.09347850697815,36.58143289289284
2019-12-02 00:00:00,36.03,32.31361392637018,33.195720032895444,35.23044824462597,34.2029215157675,33.73567592991478
2019-12-02 01:00:00,36.93,36.69617685080888,19.67509747360512,32.59941185958595,30.989285956163602,29.98999303504089
2019-12-02 02:00:00,35.4,32.522494120948814,30.78261140885819,29.31924803844501,28.447409275173047,30.267940710856266
2019-12-02 03:00:00,34.46,31.51173875712548,27.43422154769937,27.658233799528908,26.49477881555463,28.274743229977094
2019-12-02 04:00:00,35.4,32.308911586965124,25.712350103197537,27.09148707885303,26.24925405321683,27.84050070555813
2019-12-02 05:00:00,36.3,33.82398322177407,31.855172147635077,31.301990745247775,29.7093297272315,31.672618960472107
2019-12-02 06:00:00,44.84,42.69374671950956,44.326779673672846,43.076839040343295,40.640646047402136,42.68450287023196
2019-12-02 07:00:00,52.97,50.609262181434545,52.333899405711136,52.862873652141865,51.58389502274589,51.84748256550836
2019-12-02 08:00:00,54.58,50.93506176112929,53.36247606360215,54.04936188232936,52.87392969118711,52.805207349561975
2019-12-02 09:00:00,54.09,49.76485758364807,49.89279302309557,49.888704888771905,48.69888586410451,49.56131033990501
2019-12-02 10:00:00,45.9,49.97401621396944,48.10437339226324,47.12607744755503,45.27486724688989,47.6198335751694
2019-12-02 11:00:00,43.59,49.49002343034577,46.86642592813161,45.96230961198623,44.10920968545589,46.606992163979875
2019-12-02 12:00:00,41.96,45.80435346247374,44.15154858037607,44.48773578098977,41.88818013164251,44.08295448887053
